,name,cuisine,price,rank,neighborhood,reviews,avg
5792,Urban Market of Williamsburg,,,"1,095", Brooklyn,8.0,5.0
5793,Sushi Time,Japanese,2.0,"5,037", Manhattan,42.0,3.5
5794,Le Song,French,2.0,"5,038", Manhattan,36.0,3.5
5795,Charm's New York,Thai,2.0,"5,039", Manhattan,9.0,4.0
5796,Seafood,Steakhouse,2.0,"5,040", Manhattan,9.0,4.5
5797,Binki Cafe,,,"5,041", Manhattan,5.0,5.0
5798,Bagel Pub,American,1.0,378, Brooklyn,32.0,4.5
5799,Cafe 45,Cafe,1.0,"5,042", Manhattan,26.0,3.5
5800,200 Fifth Restaurant and Bar,American,2.0,550, Brooklyn,48.0,4.0
5801,Restaurant at Rose Hill,American,2.0,"5,043", Manhattan,15.0,4.0
5802,Curry Express,Indian,1.0,"5,044", Manhattan,11.0,4.0
5803,Grandma's House,Diner,2.0,"1,099", Brooklyn,19.0,4.0
5804,Fortune House,Chinese,1.0,"1,100", Brooklyn,30.0,3.5
5805,Naples 45 Ristorante e Pizzeria,Italian,2.0,"5,045", Manhattan,14.0,4.0
5806,City Cafe,American,1.0,"5,046", Manhattan,7.0,4.5
5807,Il Passatore,Italian,2.0,321, Brooklyn,47.0,4.5
5808,Pizza 33,Italian,1.0,"5,047", Manhattan,9.0,4.5
5809,Black Hound,Bar,2.0,"5,048", Manhattan,28.0,4.0
5810,Sabor a Mexico,Mexican,2.0,"5,049", Manhattan,20.0,4.0
5811,Capatosta,Italian,2.0,"5,050", Manhattan,11.0,4.5
5812,Peng's Noodle Folk,,,"5,051", Manhattan,6.0,4.5
5813,La Boina Roja,Colombian,2.0,"5,052", Manhattan,25.0,4.0
5814,Doaba Deli,Indian,1.0,"5,053", Manhattan,6.0,5.0
5815,Bhutanese Ema Datsi,Indian,2.0,"5,054", Manhattan,10.0,4.5
5816,Yummy Thai,Asian,2.0,"5,055", Manhattan,12.0,4.0
5817,Signature Cafe and Bar,American,1.0,"5,056", Manhattan,10.0,4.5
